Overfitting,train_accuracy,test_accuracy,n_estimator,max_depth,max_feature,min_samples_leaf
0.223121387,1,0.776878613,200,8,240,1
0.225433526,1,0.774566474,200,11,274,1
0.226589595,1,0.773410405,200,11,309,1
0.227745665,1,0.772254335,200,7,206,1
0.228901734,1,0.771098266,200,7,309,1
0.228901734,1,0.771098266,200,10,274,1
0.228901734,1,0.771098266,200,12,309,1
0.228901734,1,0.771098266,200,13,309,1
0.228901734,1,0.771098266,200,14,274,1
0.229766683,0.999708879,0.769942197,200,7,309,2
0.230057803,1,0.769942197,200,8,309,1
0.230057803,1,0.769942197,200,8,309,2
0.230057803,1,0.769942197,200,9,240,1
0.230057803,1,0.769942197,200,9,309,1
0.230057803,1,0.769942197,200,10,206,1
0.230057803,1,0.769942197,200,10,240,1
0.230057803,1,0.769942197,200,10,274,2
0.230057803,1,0.769942197,200,13,274,1
0.230315269,0.995633188,0.765317919,200,7,309,3
0.230914338,0.998544396,0.767630058,200,6,309,2
0.231213873,1,0.768786127,200,8,274,1
0.231213873,1,0.768786127,200,9,274,1
0.231213873,1,0.768786127,200,10,240,2
0.231213873,1,0.768786127,200,13,240,1
0.231787701,0.999417758,0.767630058,200,9,206,2
0.232045166,0.995050946,0.76300578,200,9,309,3
0.232078821,0.999708879,0.767630058,200,6,309,1
0.232078821,0.999708879,0.767630058,200,7,240,2
0.232078821,0.999708879,0.767630058,200,11,309,2
0.232078821,0.999708879,0.767630058,200,13,240,2
0.232369942,1,0.767630058,200,7,274,1
0.232369942,1,0.767630058,200,7,274,2
0.232369942,1,0.767630058,200,9,240,2
0.232369942,1,0.767630058,200,9,274,2
0.232369942,1,0.767630058,200,9,309,2
0.232369942,1,0.767630058,200,10,309,1
0.232369942,1,0.767630058,200,14,240,1
0.232369942,1,0.767630058,200,14,274,2
0.232618994,0.994468705,0.761849711,200,13,309,3
0.233234891,0.999708879,0.766473988,200,11,240,2
0.233526012,1,0.766473988,200,9,206,1
0.233526012,1,0.766473988,200,11,206,2
0.233526012,1,0.766473988,200,11,240,1
0.233526012,1,0.766473988,200,12,206,1
0.233526012,1,0.766473988,200,14,206,1
0.233526012,1,0.766473988,200,14,309,1
0.233526012,1,0.766473988,200,14,309,2
0.23439096,0.999708879,0.765317919,200,8,240,2
0.23439096,0.999708879,0.765317919,200,14,240,2
0.234682081,1,0.765317919,200,7,240,1
0.234682081,1,0.765317919,200,8,274,2
0.234682081,1,0.765317919,200,10,309,2
0.234682081,1,0.765317919,200,12,240,1
0.234682081,1,0.765317919,200,12,274,1
0.23583815,1,0.76416185,200,7,206,2
