overfitting,train_accuracy,test_accuracy,n_estimator,max_depth,max_feature,min_samples_leaf
0.203468208,1,0.796531792,200,12,137,1
0.204324743,0.998544396,0.794219653,200,6,171,2
0.204624277,1,0.795375723,200,7,171,2
0.204624277,1,0.795375723,200,11,171,1
0.204624277,1,0.795375723,200,11,171,2
0.205780347,1,0.794219653,200,7,171,1
0.206936416,1,0.793063584,200,10,137,1
0.206936416,1,0.793063584,200,13,171,2
0.206936416,1,0.793063584,200,14,171,2
0.206936416,1,0.793063584,200,12,171,1
0.207485002,0.995924309,0.788439306,200,6,103,3
0.207510244,0.999417758,0.791907514,200,9,171,3
0.208957434,0.999708879,0.790751445,200,13,171,3
0.209248555,1,0.790751445,200,9,103,1
0.209248555,1,0.790751445,200,10,103,2
0.209248555,1,0.790751445,200,11,103,1
0.209248555,1,0.790751445,200,11,137,2
0.209248555,1,0.790751445,200,12,171,2
0.209248555,1,0.790751445,200,14,171,1
0.209822383,0.999417758,0.789595376,200,14,171,3
0.210404624,1,0.789595376,200,12,68,2
0.210404624,1,0.789595376,200,13,68,2
0.210404624,1,0.789595376,200,8,103,1
0.210404624,1,0.789595376,200,9,103,2
0.210404624,1,0.789595376,200,13,103,1
0.210404624,1,0.789595376,200,7,137,1
0.210404624,1,0.789595376,200,10,137,2
0.210404624,1,0.789595376,200,12,137,2
0.210978452,0.999417758,0.788439306,200,10,137,3
0.211560694,1,0.788439306,200,10,68,2
0.211560694,1,0.788439306,200,7,103,1
0.211560694,1,0.788439306,200,12,103,2
0.211560694,1,0.788439306,200,11,137,1
0.211560694,1,0.788439306,200,9,171,2
0.211560694,1,0.788439306,200,10,171,1
0.212425642,0.999708879,0.787283237,200,9,137,3
0.212425642,0.999708879,0.787283237,200,12,137,3
0.212708349,0.998835517,0.786127168,200,11,68,3
0.212716763,1,0.787283237,200,10,34,1
0.212716763,1,0.787283237,200,7,68,1
0.212716763,1,0.787283237,200,9,68,2
0.212716763,1,0.787283237,200,11,68,1
0.212716763,1,0.787283237,200,12,68,1
0.212716763,1,0.787283237,200,13,137,1
0.212716763,1,0.787283237,200,13,137,2
0.212716763,1,0.787283237,200,8,171,1
0.212982642,0.996797671,0.783815029,200,6,137,3
0.21299947,0.999126638,0.786127168,200,11,137,3
0.213256935,0.994759825,0.78150289,200,6,68,3
0.213290591,0.999417758,0.786127168,200,6,103,1
0.213290591,0.999417758,0.786127168,200,8,137,3
0.213290591,0.999417758,0.786127168,200,6,171,1
0.213581712,0.999708879,0.786127168,200,13,137,3
0.213856005,0.997671033,0.783815029,200,6,68,2
0.213864418,0.998835517,0.784971098,200,12,171,3
0.213872832,1,0.786127168,200,8,68,2
0.213872832,1,0.786127168,200,7,103,2
0.213872832,1,0.786127168,200,11,103,3
0.213872832,1,0.786127168,200,9,137,2
0.213872832,1,0.786127168,200,14,137,2
0.213872832,1,0.786127168,200,8,171,2
0.213872832,1,0.786127168,200,9,171,1
0.213872832,1,0.786127168,200,10,171,2
0.214155539,0.999126638,0.784971098,200,11,171,3
0.214438246,0.998253275,0.783815029,200,8,171,3
0.214737781,0.999708879,0.784971098,200,14,137,3
0.215020488,0.998835517,0.783815029,200,8,68,3
0.215028902,1,0.784971098,200,7,34,1
0.215028902,1,0.784971098,200,10,34,2
0.215028902,1,0.784971098,200,13,68,1
0.215028902,1,0.784971098,200,14,68,2
0.215028902,1,0.784971098,200,9,137,1
0.215028902,1,0.784971098,200,14,137,1
0.215028902,1,0.784971098,200,13,171,1
0.215303195,0.997962154,0.78265896,200,6,137,2
0.21589385,0.999708879,0.783815029,200,12,68,3
0.216176557,0.998835517,0.78265896,200,7,137,3
0.216184971,1,0.783815029,200,8,68,1
0.216184971,1,0.783815029,200,10,68,1
0.216184971,1,0.783815029,200,13,103,2
0.216184971,1,0.783815029,200,14,103,2
0.216184971,1,0.783815029,200,7,137,2
0.216184971,1,0.783815029,200,8,137,1
0.216758799,0.999417758,0.78265896,200,7,34,2
0.21704992,0.999708879,0.78265896,200,14,103,3
0.217315799,0.99650655,0.779190751,200,6,34,1
0.21734104,1,0.78265896,200,9,34,1
0.21734104,1,0.78265896,200,7,68,2
0.21734104,1,0.78265896,200,10,103,1
0.21734104,1,0.78265896,200,11,103,2
0.21734104,1,0.78265896,200,12,103,1
0.21734104,1,0.78265896,200,13,103,3
0.21734104,1,0.78265896,200,14,103,1
0.217914868,0.999417758,0.78150289,200,6,137,1
0.218189161,0.997379913,0.779190751,200,6,171,3
0.218488696,0.998835517,0.780346821,200,6,68,1
0.21849711,1,0.78150289,200,11,34,1
0.21849711,1,0.78150289,200,9,68,1
0.21849711,1,0.78150289,200,8,103,2
0.21849711,1,0.78150289,200,8,137,2
0.218779817,0.999126638,0.780346821,200,8,34,3
0.219070938,0.999417758,0.780346821,200,9,34,3
0.219070938,0.999417758,0.780346821,200,9,68,3
0.219644765,0.998835517,0.779190751,200,7,171,3
0.219653179,1,0.780346821,200,9,34,2
0.219653179,1,0.780346821,200,12,34,1
0.219653179,1,0.780346821,200,13,68,3
0.219935886,0.999126638,0.779190751,200,7,103,3
0.219935886,0.999126638,0.779190751,200,10,103,3
0.220227007,0.999417758,0.779190751,200,10,68,3
0.220484472,0.995050946,0.774566474,200,6,34,2
0.220509714,0.998544396,0.778034682,200,7,68,3
0.220809249,1,0.779190751,200,8,34,1
0.220809249,1,0.779190751,200,8,34,2
0.220809249,1,0.779190751,200,11,34,2
0.220809249,1,0.779190751,200,12,34,2
0.220809249,1,0.779190751,200,11,68,2
0.220809249,1,0.779190751,200,14,68,1
0.221091955,0.999126638,0.778034682,200,12,103,3
0.221374662,0.998253275,0.776878613,200,6,103,2
0.221383076,0.999417758,0.778034682,200,14,68,3
0.221965318,1,0.778034682,200,14,34,2
0.221965318,1,0.778034682,200,13,34,1
0.222231197,0.996797671,0.774566474,200,7,34,3
0.222539146,0.999417758,0.776878613,200,10,171,3
0.222830266,0.999708879,0.776878613,200,9,103,3
0.223695215,0.999417758,0.775722543,200,8,103,3
0.224277457,1,0.775722543,200,14,34,1
0.224450783,0.983988355,0.759537572,200,5,137,2
0.224783973,0.990101892,0.765317919,200,6,34,3
0.225433526,1,0.774566474,200,13,34,2
0.225564783,0.978165939,0.752601156,200,5,171,3
0.228218526,0.985443959,0.757225434,200,5,103,1
0.229049819,0.980494905,0.751445087,200,5,171,2
0.229066646,0.982823872,0.753757225,200,5,103,2
0.229547921,0.969432314,0.739884393,200,5,34,2
0.230057803,1,0.769942197,200,12,34,3
0.23034051,0.999126638,0.768786127,200,10,34,3
0.23034051,0.999126638,0.768786127,200,13,34,3
0.231969441,0.984570597,0.752601156,200,5,171,1
0.232361528,0.998835517,0.766473988,200,14,34,3
0.23294377,0.999417758,0.766473988,200,11,34,3
0.233100268,0.981077147,0.747976879,200,5,68,2
0.233391389,0.981368268,0.747976879,200,5,137,3
0.235336682,0.970596798,0.735260116,200,5,34,1
0.236003063,0.982823872,0.746820809,200,5,137,1
0.236302597,0.984279476,0.747976879,200,5,68,1
0.238863787,0.97874818,0.739884393,200,5,68,3
0.238863787,0.97874818,0.739884393,200,5,103,3
0.265120193,0.972634643,0.707514451,200,5,34,3
